year,landsat_ndvi,sentinel2_ndvi
2018,0.5504817295516716,0.4976389156551373
2019,0.5550459158887281,0.5149725754879511
2020,0.5699570382056476,0.525157106936173
2021,0.5613473156268746,0.5032872379364969
2022,0.5885561614360652,0.5466645319035982
2023,0.5662416757913431,0.5203225001980384
2024,0.5607303831587648,0.5134387770905916
2025,0.54270391846142,0.519970984554445
2026,0.4727969437623253,0.5046105200005992
