測站名稱,縣市,AQI,狀態,主要污染物,PM2.5,PM10,SO2,NO2,CO,O3,風速,風向,緯度,經度,距離台北車站(公里),更新時間
富貴角,新北市,105,對敏感族群不健康,懸浮微粒,24,60,0.7,5,0.16,42,1.9,307,25.29681695,121.53656894,27.76,2026/02/24 18:00:00
大城,彰化縣,91,普通,細懸浮微粒,20,50,0.8,4,0.15,39,2.7,30,23.85493056,120.26964167,183.12,2026/02/24 18:00:00
臺灣大道,臺中市,81,普通,細懸浮微粒,23,61,0.6,24,0.86,19,0.7,343,24.1589,120.6567111,131.66,2026/02/24 18:00:00
員林,彰化縣,84,普通,細懸浮微粒,23,54,1.1,12,0.26,29,1.4,274,23.9615945,120.5631893,154.6,2026/02/24 18:00:00
林森,臺南市,107,對敏感族群不健康,細懸浮微粒,26,73,0.8,16,0.67,48,1.3,108,22.98522502,120.22216042,264.37,2026/02/24 18:00:00
南投（鹿谷）,南投縣,74,普通,懸浮微粒,20,55,1.3,10,0.26,35,0.3,112,23.71867609,120.7944772,164.91,2026/02/24 18:00:00
屏東（琉球）,屏東縣,63,普通,懸浮微粒,4,22,0.6,1,0.14,30,1.2,200,22.35222,120.37722,321.41,2026/02/24 18:00:00
新北（樹林）,新北市,78,普通,細懸浮微粒,21,42,0.9,29,0.52,13,0.4,100,24.94902778,121.38352778,17.37,2026/02/24 18:00:00
屏東（枋山）,屏東縣,57,普通,懸浮微粒,6,59,0.1,2,0.12,34,2.8,100,22.260899,120.651472,322.18,2026/02/24 18:00:00
嘉義（東區）,嘉義市,99,普通,懸浮微粒,26,-,1.9,14,0.28,33,0.7,333,23.51301,120.44452,202.34,2026/02/24 18:00:00
