避難所名稱,地址,縣市,設施類型,緯度,經度,最近AQI測站,測站AQI,測站狀態,距離(公里),風險等級,預計收容人數
五峰活動中心,,新竹縣,室內,24.386,121.073,台中,43,良好,48.39,Low Risk,110
金門縣烈嶼鄉林湖村辦公處,東林24號,金門縣烈嶼鄉,室內,24.428328,118.248571,彰化,41,良好,236.1,Low Risk,30
南坑村集會所暨南外社區活動中心,9鄰大南坑1-5號,新竹縣北埔鄉,室內,24.6725,121.0561,新竹,39,良好,18.65,Low Risk,20
霞雲社區活動中心,6鄰22-1號,桃園市復興區,室內,24.814018,121.406238,新店,41,良好,21.73,Low Risk,36
澤仁里辦公處,14鄰中正路168之1號,桃園市復興區,室內,24.820601,121.351987,桃園,47,良好,19.47,Low Risk,40
奎輝里活動中心,3鄰羅馬路3段355號,桃園市復興區,室內,24.797047,121.334302,桃園,47,良好,21.66,Low Risk,50
高義教會,6鄰48號,桃園市復興區,室內,24.706112,121.354462,桃園,47,良好,31.97,Low Risk,61
上大社區活動中心,8鄰大湖路一段510號,桃園市觀音區,室內,24.978234,121.147333,桃園,47,良好,15.55,Low Risk,0
武威社區活動中心,4鄰武威一路10號,桃園市觀音區,室內,25.028242,121.073317,桃園,47,良好,23.35,Low Risk,0
塔腳社區活動中心,4鄰塔腳路116號,桃園市觀音區,室內,25.049298,121.154708,桃園,47,良好,16.18,Low Risk,0
廣福社區活動中心,福山路二段403巷6號,桃園市觀音區,室內,25.019018,121.153383,桃園,47,良好,15.24,Low Risk,0
草漯國民小學,新生路1462號,桃園市觀音區,室內,25.045941,121.142939,桃園,47,良好,17.13,Low Risk,100
上大國民小學,8鄰大湖路一段540號,桃園市觀音區,室內,24.979129,121.146755,桃園,47,良好,15.6,Low Risk,100
崙坪國民小學,崙坪里297之1號,桃園市觀音區,室內,24.999596,121.162676,桃園,47,良好,14.0,Low Risk,100
富林國民小學,大觀路三段466號,桃園市觀音區,室內,25.062195,121.1285,桃園,47,良好,19.18,Low Risk,100
樹林國民小學,觀音鄉樹林村新村路二段十二號,桃園市觀音區,室內,25.062176,121.128468,桃園,47,良好,19.18,Low Risk,100
觀音區公所綠資源中心,觀新路56號,桃園市觀音區,室內,25.028281,121.083597,桃園,47,良好,22.34,Low Risk,0
高雄市前鎮區光華國民小學,廣西路57號,高雄市前鎮區,室內,22.615,120.32,高雄,150,對所有族群不健康,2.35,High Risk,300
大武國小,民族街2巷49號,臺東縣大武鄉,室內,22.365009,120.905497,屏東,40,良好,44.27,Low Risk,350
尖山國小操場,尖豐路305號,苗栗縣頭份市,室內,24.64686,120.894048,新竹,39,良好,20.6,Low Risk,200
高雄市小港區鳳林國民小學,鳳林路207號,高雄市小港區,室內,22.527,120.343,高雄,150,對所有族群不健康,11.94,High Risk,300
大武社區活動中心,2鄰小山巷7號,屏東縣霧臺鄉,室內,22.757534,120.754782,台東,33,良好,41.62,Low Risk,30
和平國小,和平112號,花蓮縣秀林鄉,室內,24.308073,121.748879,花蓮,35,良好,57.75,Low Risk,250
佳義社區活動中心,泰平巷11號,屏東縣瑪家鄉,室內,22.653475,120.630874,屏東,40,良好,25.15,Low Risk,0
中東社區活動中心,山腳路五段185巷20號,彰化縣員林市,室內,23.971414,120.599689,南投,38,良好,10.47,Low Risk,30
崇實高工體育館,育英路103號,彰化縣員林市,室內,23.961057,120.574848,南投,38,良好,12.04,Low Risk,80
東芳國小,彰馬路45號,彰化縣彰化市,室內,24.062538,120.516345,彰化,41,良好,3.33,Low Risk,145
三義社區活動中心,員鹿路245巷112號,彰化縣員林市,室內,23.95268,120.563531,南投,38,良好,12.75,Low Risk,200
大同國中,大同路一段345號,彰化縣員林市,室內,23.963213,120.579502,南投,38,良好,11.72,Low Risk,200
員林農工體育館,員水路二段313號,彰化縣員林市,室內,23.955187,120.581692,南投,38,良好,11.14,Low Risk,200
員林市員東國小,員東路二段12號,彰化縣員林市,室內,23.961879,120.587309,南投,38,良好,10.95,Low Risk,200
員林市員林國中活動中心,南潭路2號,彰化縣員林市,室內,23.979184,120.557085,彰化,41,良好,10.91,Low Risk,200
員林市員林國小,三民東街221號,彰化縣員林市,室內,23.960059,120.57921,南投,38,良好,11.59,Low Risk,300
健康公園,忠明南路與五權南路交叉口,臺中市南區,室外,24.119757,120.667553,台中,43,良好,3.17,Low Risk,7500
屏東市信義國小,信義路262號,屏東縣屏東市,室內,22.68523,120.49197,左營,43,良好,20.02,Low Risk,965
光隆營區,光興路1001號,臺中市太平區,室內,24.1112,120.7305,台中,43,良好,7.06,Low Risk,80
大快官藝文館,彰南路五段8號,彰化縣彰化市,室內,24.068651,120.613159,彰化,41,良好,6.95,Low Risk,45
彰德國中勤學樓、育英樓穿堂,彰南路二段512巷97號,彰化縣彰化市,室內,24.08054,120.589342,彰化,41,良好,4.49,Low Risk,45
介壽社區活動中心,介壽新村21號,彰化縣彰化市,室內,24.070873,120.551727,彰化,41,良好,0.92,Low Risk,45
國聖國小,中山路三段608號,彰化縣彰化市,室內,24.092292,120.568089,彰化,41,良好,2.89,Low Risk,54
石牌國小,田坑路一段9號,彰化縣彰化市,室內,24.058558,120.614942,彰化,41,良好,7.35,Low Risk,63
茄苳社區活動中心,茄苳路二段292號,彰化縣彰化市,室內,24.10378,120.547944,彰化,41,良好,3.02,Low Risk,64
三民國小,田中路125號,彰化縣彰化市,室內,24.085743,120.604547,彰化,41,良好,6.1,Low Risk,77
南北管戲曲音樂館,平和七街66號,彰化縣彰化市,室內,24.068206,120.529851,彰化,41,良好,1.83,Low Risk,77
牛埔社區活動中心,彰南路三段226號,彰化縣彰化市,室內,24.081368,120.597531,彰化,41,良好,5.33,Low Risk,78
桃源社區活動中心,公園路二段102之1號,彰化縣彰化市,室內,24.072547,120.559047,彰化,41,良好,1.47,Low Risk,90
南興社區活動中心,中山路一段189巷49號,彰化縣彰化市,室內,24.056604,120.533189,彰化,41,良好,2.55,Low Risk,93
快官社區活動中心,彰南路四段566號之1,彰化縣彰化市,室內,24.068422,120.612013,彰化,41,良好,6.84,Low Risk,115
福山社區活動中心,福山街168號,彰化縣彰化市,室內,24.082668,120.571394,彰化,41,良好,2.73,Low Risk,177
延和社區活動中心,埔西街111號,彰化縣彰化市,室內,24.059306,120.538252,彰化,41,良好,2.06,Low Risk,184
泰和國小,泰和路二段145巷1號,彰化縣彰化市,室內,24.092496,120.55168,彰化,41,良好,1.87,Low Risk,203
彰興國中,埔西街107號,彰化縣彰化市,室內,24.059274,120.538251,彰化,41,良好,2.07,Low Risk,242
信義國中小,向陽街168號,彰化縣彰化市,室內,24.062723,120.52814,彰化,41,良好,2.33,Low Risk,399
雅溝社區活動中心,南軒路359巷7號,彰化縣和美鎮,室內,24.099707,120.492521,彰化,41,良好,5.94,Low Risk,150
湖口鄉信勢國小禮堂,成功路360號,新竹縣湖口鄉,室內,21.9002,121.0376,屏東,40,良好,84.72,Low Risk,385
港口社區活動中心,港口路42號,屏東縣滿州鄉,室內,21.9912,120.8271,屏東,40,良好,63.44,Low Risk,50
恆春國中收容所,文化路79號,屏東縣恆春鎮,室內,22.0031,120.7475,屏東,40,良好,58.17,Low Risk,1400
恆春鎮公所,天文路1號,屏東縣恆春鎮,室內,22.0038,120.7474,屏東,40,良好,58.09,Low Risk,220
永靖社區活動中心,庄內路33巷8-1號,屏東縣滿州鄉,室內,22.0052,120.8092,屏東,40,良好,61.13,Low Risk,30
永港國民小學,新庄路25號,屏東縣滿州鄉,室內,22.005679,120.817377,屏東,40,良好,61.54,Low Risk,100
恒春國小收容所,北門路39巷26號,屏東縣恆春鎮,室內,22.0064,120.7466,屏東,40,良好,57.8,Low Risk,200
僑勇國小收容所,西門路146號,屏東縣恆春鎮,室內,22.0087,120.7442,屏東,40,良好,57.46,Low Risk,430
滿州國民小學,中山路39號,屏東縣滿州鄉,室內,22.020382,120.838101,屏東,40,良好,61.4,Low Risk,100
屏東縣滿州鄉公所,中山路43號,屏東縣滿州鄉,室內,22.0209,120.8386,屏東,40,良好,61.38,Low Risk,30
舊蘭嶼國小,臺東縣蘭嶼鄉紅頭村1-1號,臺東縣蘭嶼鄉,室內,22.0211,121.5546,台東,33,良好,91.58,Low Risk,100
滿州社區活動中心,中山路107號,屏東縣滿州鄉,室內,22.0233,120.8371,屏東,40,良好,61.07,Low Risk,30
屏東縣滿州鄉圖書館,中山路152號,屏東縣滿州鄉,室內,22.0243,120.8377,屏東,40,良好,61.02,Low Risk,100
滿州國民中學,文化路32號,屏東縣滿州鄉,室內,22.024499,120.839695,屏東,40,良好,61.12,Low Risk,100
蘭恩活動中心,臺東縣蘭嶼鄉紅頭村漁人147號,臺東縣蘭嶼鄉,室內,22.026,121.539,台東,33,良好,90.39,Low Risk,500
蘭嶼國民小學,1號 之1,臺東縣蘭嶼鄉,室內,22.0302,121.5266,台東,33,良好,89.42,Low Risk,100
響林活動中心,福德路64巷3號,屏東縣滿州鄉,室內,22.0377,120.8335,屏東,40,良好,59.56,Low Risk,50
椰油國民小學,1號,臺東縣蘭嶼鄉,室內,22.0453,121.5176,台東,33,良好,87.51,Low Risk,100
蘭嶼完全高級中學,臺東縣蘭嶼鄉椰油村34號,臺東縣蘭嶼鄉,室內,22.0494,121.5126,台東,33,良好,86.88,Low Risk,500
屏東縣立車城國小保力分校,保力路30號,屏東縣車城鄉,室內,22.0561,120.7275,屏東,40,良好,51.99,Low Risk,63
屏東縣立車城國小射寮分校,埔墘路38號,屏東縣車城鄉,室內,22.0567,120.7118,屏東,40,良好,51.19,Low Risk,63
屏東縣立車城國中,新興路42號,屏東縣車城鄉,室內,22.0729,120.7165,屏東,40,良好,49.81,Low Risk,350
高士國小牡林分校,四林路80號,屏東縣牡丹鄉,室內,22.0731,120.8139,屏東,40,良好,55.2,Low Risk,304
長樂村長壽俱樂部,和平路21號,屏東縣滿州鄉,室內,22.0742,120.8258,屏東,40,良好,55.85,Low Risk,50
屏東縣立車城國小,中山路66號,屏東縣車城鄉,室內,22.0749,120.7146,屏東,40,良好,49.52,Low Risk,250
長樂國小,大公路35號,屏東縣滿州鄉,室內,22.0755,120.8286,屏東,40,良好,55.92,Low Risk,120
車城福安宮香客大樓,福安路5之1號,屏東縣車城鄉,室內,22.0766,120.7119,屏東,40,良好,49.22,Low Risk,100
朗島國小,臺東縣蘭嶼鄉朗島村17號,臺東縣蘭嶼鄉,室內,22.0792,121.5286,台東,33,良好,84.6,Low Risk,100
屏東縣立車城國小溫泉分校,文化路23號,屏東縣車城鄉,室內,22.096,120.7487,屏東,40,良好,49.26,Low Risk,63
九棚永久屋大愛基地活動中心,九棚路大愛巷6號,屏東縣滿州鄉,室內,22.111079,120.87378,屏東,40,良好,56.05,Low Risk,100
高士國小,高士路29號,屏東縣牡丹鄉,室內,22.1248,120.847,屏東,40,良好,53.03,Low Risk,350
石門村活動中心,石門路18號,屏東縣牡丹鄉,室內,22.1254,120.774,屏東,40,良好,48.08,Low Risk,100
港仔活動中心,港仔路67號,屏東縣滿州鄉,室內,22.1334,120.8815,屏東,40,良好,54.9,Low Risk,50
竹坑活動中心,竹坑一巷1鄰8號,屏東縣獅子鄉,室內,22.1454,120.7012,屏東,40,良好,42.01,Low Risk,40
牡丹國小,牡丹路93號,屏東縣牡丹鄉,室內,22.1766,120.8377,屏東,40,良好,48.33,Low Risk,350
楓港國民小學,光復24號,屏東縣枋山鄉,室內,22.1902,120.6922,屏東,40,良好,37.31,Low Risk,90
旭海村活動中心,旭海路93-1號,屏東縣牡丹鄉,室內,22.1917,120.8786,屏東,40,良好,50.48,Low Risk,250
楓港老人文康中心,村舊庄1-2號,屏東縣枋山鄉,室內,22.193,120.6895,屏東,40,良好,36.9,Low Risk,80
楓林國小,楓林二巷22之2號,屏東縣獅子鄉,室內,22.2022,120.7038,屏東,40,良好,36.91,Low Risk,50
丹路國小,丹路一巷39號,屏東縣獅子鄉,室內,22.2034,120.7515,屏東,40,良好,39.93,Low Risk,50
獅子鄉立綜合體育館,舊庄280號,屏東縣獅子鄉,室內,22.2051,120.7014,屏東,40,良好,36.5,Low Risk,100
東源村活動中心,東源路6號,屏東縣牡丹鄉,室內,22.2052,120.851,屏東,40,良好,47.31,Low Risk,250
內文活動中心,3鄰26號,屏東縣獅子鄉,室內,22.2183,120.8507,屏東,40,良好,46.4,Low Risk,40
獅子活動中心,3鄰35號,屏東縣獅子鄉,室內,22.2323,120.6805,屏東,40,良好,32.79,Low Risk,0
草埔活動中心,6鄰64號,屏東縣獅子鄉,室內,22.2341,120.8014,屏東,40,良好,41.32,Low Risk,40
枋山鄉公所,枋山路82號,屏東縣枋山鄉,室內,22.26396799,120.6524235,屏東,40,良好,28.24,Low Risk,50
枋寮高中正成分校,國中路1號,屏東縣枋山鄉,室內,22.2643,120.6606,屏東,40,良好,28.72,Low Risk,150
南田基督教會,臺東縣達仁鄉南田村3鄰20號,臺東縣達仁鄉,室內,22.276682,120.890256,屏東,40,良好,46.39,Low Risk,50
森永活動中心,臺東縣達仁鄉森永村3鄰31號,臺東縣達仁鄉,室內,22.280641,120.864826,屏東,40,良好,43.87,Low Risk,100
南田活動中心,臺東縣達仁鄉南田村10之2號,臺東縣達仁鄉,室內,22.286514,120.888972,屏東,40,良好,45.77,Low Risk,100
安朔基督教會,臺東縣達仁鄉安朔村2鄰20號,臺東縣達仁鄉,室內,22.292996,120.866016,屏東,40,良好,43.34,Low Risk,50
安朔集會所,6鄰安朔路114號,臺東縣達仁鄉,室內,22.293497,120.867753,屏東,40,良好,43.47,Low Risk,50
安朔國小,臺東縣達仁鄉安朔村8鄰113號,臺東縣達仁鄉,室內,22.294292,120.868276,屏東,40,良好,43.48,Low Risk,200
達仁鄉公所禮堂,9鄰復興路14號,臺東縣達仁鄉,室內,22.297005,120.883062,屏東,40,良好,44.72,Low Risk,100
大南國民小學,東興村東園一街40號,臺東縣卑南鄉,室內,22.301654,121.016385,台東,33,良好,53.06,Low Risk,50
內獅國小,內獅村1號,屏東縣獅子鄉,室內,22.3052,120.6427,屏東,40,良好,24.03,Low Risk,0
南興村社區活動中心,達興路173號,臺東縣大武鄉,室內,22.3104,120.8867,屏東,40,良好,44.45,Low Risk,200
南福社區活動中心,忠孝路1-10號,屏東縣琉球鄉,室內,22.3284,120.3634,屏東,40,良好,20.29,Low Risk,50
加祿國民小學,會社28號,屏東縣枋山鄉,室內,22.3302,120.6211,屏東,40,良好,20.48,Low Risk,60
大福社區活動中心,和平路3巷14-1號,屏東縣琉球鄉,室內,22.3338,120.3708,屏東,40,良好,19.34,Low Risk,100
琉球國中,中正路158號,屏東縣琉球鄉,室內,22.336,120.3685,屏東,40,良好,19.3,Low Risk,200
琉球國小,中正路293號,屏東縣琉球鄉,室內,22.3371,120.3683,屏東,40,良好,19.22,Low Risk,200
尚武村社區活動中心,政通3街1號,臺東縣大武鄉,室內,22.342,120.8818,屏東,40,良好,42.7,Low Risk,100
大武鄉立托兒所,政通5街6-1號,臺東縣大武鄉,室內,22.3425,120.8806,屏東,40,良好,42.56,Low Risk,100
全德國小,復興路97號,屏東縣琉球鄉,室內,22.3462,120.3692,屏東,40,良好,18.4,Low Risk,200
琉球鄉公所,行政路12號,屏東縣琉球鄉,室內,22.3501,120.3837,屏東,40,良好,17.1,Low Risk,150
老人文康活動中心,海邊路6號,屏東縣枋寮鄉,室內,22.3562,120.5997,屏東,40,良好,16.85,Low Risk,150
大武老人會館,大武街110號,臺東縣大武鄉,室內,22.3564,120.9038,屏東,40,良好,44.36,Low Risk,150
大武鄉多功能綜合活動中心暨避難收容所,大武街21巷1號,臺東縣大武鄉,室內,22.3581,120.9064,屏東,40,良好,44.56,Low Risk,300
古華社區活動中心,古華路6鄰2巷46號,屏東縣春日鄉,室內,22.3596,120.6281,屏東,40,良好,18.69,Low Risk,100
大武村社區活動中心,大武街56號,臺東縣大武鄉,室內,22.3596,120.8975,屏東,40,良好,43.64,Low Risk,100
古華國民小學,3巷63號,屏東縣春日鄉,室內,22.361,120.626,屏東,40,良好,18.42,Low Risk,200
僑德國小,僑德路186號,屏東縣枋寮鄉,室內,22.3631,120.6,屏東,40,良好,16.31,Low Risk,320
枋寮國小,德興路197號,屏東縣枋寮鄉,室內,22.3678,120.5908,屏東,40,良好,15.28,Low Risk,189
士文聚會所,64-2號,屏東縣春日鄉,室內,22.3685,120.6639,屏東,40,良好,21.08,Low Risk,50
古華國民小學-士文分校,65號,屏東縣春日鄉,室內,22.3689,120.6635,屏東,40,良好,21.03,Low Risk,60
春日社區活動中心,春日路13號,屏東縣春日鄉,室內,22.3703,120.6243,屏東,40,良好,17.63,Low Risk,50
春日國民小學,春日路314號,屏東縣春日鄉,室內,22.3703,120.627,屏東,40,良好,17.85,Low Risk,200
枋寮高中,義民路3號,屏東縣枋寮鄉,室內,22.3711,120.5908,屏東,40,良好,15.02,Low Risk,1136
臺東縣立安朔國小新化分校,57號,臺東縣達仁鄉,室內,22.381551,120.856773,屏東,40,良好,38.95,Low Risk,200
建興國小,建興路39號,屏東縣枋寮鄉,室內,22.387,120.6019,屏東,40,良好,14.67,Low Risk,162
屏東市復興公園,建興南路35號,屏東縣屏東市,室外,22.3931,120.2857,屏東,40,良好,22.59,Low Risk,1067
國立屏東高級工業職業學校,建國路25號,屏東縣屏東市,室內,22.3948,120.2912,屏東,40,良好,21.99,Low Risk,2523
東海國小,東海路486號,屏東縣枋寮鄉,室內,22.4013,120.5773,屏東,40,良好,11.71,Low Risk,524
屏東市千禧公園,自由、大連、廣東、勝利東路廓內,屏東縣屏東市,室外,22.4044,120.2952,屏東,40,良好,21.23,Low Risk,1734
東海國小太源分校,太源路2-10號,屏東縣枋寮鄉,室內,22.4082,120.593,屏東,40,良好,12.56,Low Risk,90
國立佳冬高農,佳農街17號,屏東縣佳冬鄉,室內,22.409,120.5584,屏東,40,良好,9.68,Low Risk,239
屏東市廣興公園,監理站對面,屏東縣屏東市,室外,22.413,120.2915,屏東,40,良好,21.29,Low Risk,755
加津林活動中心,加津林50號,臺東縣大武鄉,室內,22.4162,120.9223,屏東,40,良好,44.84,Low Risk,200
佳冬鄉立幼兒園,文化一路240號,屏東縣佳冬鄉,室內,22.423,120.5669,屏東,40,良好,9.42,Low Risk,200
力里國民小學,自強1路92號,屏東縣春日鄉,室內,22.4277,120.629,屏東,40,良好,15.02,Low Risk,200
春日鄉立老人文康中心,9鄰自強1路18號,屏東縣春日鄉,室內,22.428,120.6279,屏東,40,良好,14.9,Low Risk,120
佳冬國中,大同路1號,屏東縣佳冬鄉,室內,22.4285,120.5668,屏東,40,良好,9.09,Low Risk,300
屏東縣林邊鄉崎峰活動中心,成功路600號,屏東縣林邊鄉,室內,22.4298,120.4902,屏東,40,良好,4.31,Low Risk,200
來義鄉文物館,19鄰289號,屏東縣來義鄉,室內,22.435,120.6379,屏東,40,良好,15.68,Low Risk,100
南和國小,51號,屏東縣來義鄉,室內,22.4364,120.6426,屏東,40,良好,16.12,Low Risk,200
屏東縣林邊鄉仁和國民小學,中山路417號,屏東縣林邊鄉,室內,22.4374,120.5114,屏東,40,良好,4.12,Low Risk,200
土?天主堂,1鄰22號,臺東縣達仁鄉,室內,22.453848,120.886914,屏東,40,良好,40.85,Low Risk,50
臺東縣立土?國小,2鄰10 號,臺東縣達仁鄉,室內,22.453853,120.887664,屏東,40,良好,40.93,Low Risk,200
達仁鄉立土?托兒所,1鄰106號,臺東縣達仁鄉,室內,22.454897,120.885982,屏東,40,良好,40.75,Low Risk,160
大潭國小,大潭路93號,屏東縣東港鎮,室內,22.456799,120.495771,屏東,40,良好,1.45,Low Risk,150
愛國蒲分校,愛國蒲6鄰92號,臺東縣大武鄉,室內,22.4575,120.9227,台東,33,良好,41.55,Low Risk,100
以栗國小,船頭路25號,屏東縣東港鎮,室內,22.4624,120.4629,屏東,40,良好,2.84,Low Risk,300
東隆宮香客大樓,東隆街21-1號,屏東縣東港鎮,室內,22.4631,120.4488,屏東,40,良好,4.25,Low Risk,300
太麻里鄉多良村辦公處,18鄰大溪251號,臺東縣太麻里鄉,室內,22.4631,120.9414,台東,33,良好,39.94,Low Risk,80
東隆國小,共和街45號,屏東縣東港鎮,室內,22.463386,120.449937,屏東,40,良好,4.13,Low Risk,500
望嘉警察派出所,114-1號,屏東縣來義鄉,室內,22.4636,120.6218,屏東,40,良好,13.59,Low Risk,100
屏東縣林邊鄉竹林國民小學,中興122號,屏東縣林邊鄉,室內,22.4642,120.5331,屏東,40,良好,4.49,Low Risk,100
東港高中,船頭路1號,屏東縣東港鎮,室內,22.4652,120.4555,屏東,40,良好,3.53,Low Risk,450
東光國小,長春二路15號,屏東縣東港鎮,室內,22.4694,120.4596,屏東,40,良好,3.09,Low Risk,150
東港國小,中正路一段10號,屏東縣東港鎮,室內,22.4707,120.4547,屏東,40,良好,3.6,Low Risk,300
新埤鄉立幼兒園,民眾路103號,屏東縣新埤鄉,室內,22.4754,120.611,屏東,40,良好,12.49,Low Risk,250
臺東縣台?國民小學,10鄰59-1號,臺東縣達仁鄉,室內,22.47755,120.9077,台東,33,良好,40.74,Low Risk,200
台?活動中心,10鄰56號,臺東縣達仁鄉,室內,22.47805,120.9081,台東,33,良好,40.67,Low Risk,100
東興國小,興東路43-1號,屏東縣東港鎮,室內,22.4784,120.4657,屏東,40,良好,2.7,Low Risk,461
北市大附小,公園路29號,臺北市中正區,室內,22.4797,120.913,台東,33,良好,40.21,Low Risk,157
台?基督教會,8鄰24號,臺東縣達仁鄉,室內,22.479837,120.913513,台東,33,良好,40.16,Low Risk,50
啦里吧活動中心,9鄰啦里吧49號,臺東縣達仁鄉,室內,22.48099,120.9136,台東,33,良好,40.05,Low Risk,100
新埤國小,新華路165號,屏東縣新埤鄉,室內,22.4844,120.5653,屏東,40,良好,7.96,Low Risk,450
高雄市立中芸國民中學,中芸路3-100號,高雄市林園區,室內,22.485875,120.395311,屏東,40,良好,9.89,Low Risk,700
中芸國小,中芸路1號,高雄市林園區,室內,22.4871,120.3967,屏東,40,良好,9.77,Low Risk,500
烏龍國小,南興路217號,屏東縣新園鄉,室內,22.4877,120.4581,屏東,40,良好,3.88,Low Risk,100
鹽洲國小,鹽洲路379號,屏東縣新園鄉,室內,22.4883,120.4408,屏東,40,良好,5.48,Low Risk,50
溪北社區活動中心,仁里路93號,屏東縣南州鄉,室內,22.4945,120.5111,屏東,40,良好,3.62,Low Risk,50
溪北國小,仁里路102號,屏東縣南州鄉,室內,22.4957,120.5111,屏東,40,良好,3.73,Low Risk,95
文樂活動中心,新樂路1號,屏東縣來義鄉,室內,22.4999,120.6243,屏東,40,良好,14.26,Low Risk,50
高雄市林園區港埔國民小學,校前路1號,高雄市林園區,室內,22.504297,120.378585,屏東,40,良好,12.09,Low Risk,690
高雄市林園區王公國民小學,王公二路100號,高雄市林園區,室內,22.504698,120.388254,屏東,40,良好,11.17,Low Risk,1100
高雄市林園區林園國民小學,忠孝西路20號,高雄市林園區,室內,22.506778,120.394303,屏東,40,良好,10.68,Low Risk,2000
林園區長青文康活動中心,林園北路191號,高雄市林園區,室內,22.5087,120.3945,屏東,40,良好,10.75,Low Risk,260
港西國小,中和路101號,屏東縣新園鄉,室內,22.5087,120.4556,屏東,40,良好,5.67,Low Risk,30
來義鄉新來義部落多功能活動中心,來新路21號,屏東縣來義鄉,室內,22.5087,120.5825,屏東,40,良好,10.53,Low Risk,500
潮南國小,興美路24號,屏東縣潮州鎮,室內,22.512958,120.534672,屏東,40,良好,6.76,Low Risk,1126
南榮國中,田寮路1-15號,屏東縣崁頂鄉,室內,22.5134,120.5184,屏東,40,良好,5.79,Low Risk,200
崁頂國小,中正路119號,屏東縣崁頂鄉,室內,22.5141,120.5118,屏東,40,良好,5.55,Low Risk,200
高雄市小港區鳳鳴國民小學,鳳鳴路191號,高雄市小港區,室內,22.515082,120.357564,高雄,150,對所有族群不健康,13.75,High Risk,200
崁頂老人文康中心,興農路29-12號,屏東縣崁頂鄉,室內,22.5152,120.5069,屏東,40,良好,5.47,Low Risk,150
高雄市立林園高級中學,林園北路481號,高雄市林園區,室內,22.516726,120.395661,屏東,40,良好,11.04,Low Risk,2600
丹林活動中心,丹林路25-1號,屏東縣來義鄉,室內,22.5174,120.6348,屏東,40,良好,15.86,Low Risk,50
高雄市小港區鳳林國民中學,龍鳳路559號,高雄市小港區,室內,22.52185,120.348385,高雄,150,對所有族群不健康,12.68,High Risk,50
潮東國小,復興路66號,屏東縣潮州鎮,室內,22.52309297,120.5609105,屏東,40,良好,9.5,Low Risk,85
新園國小,媽祖路49號,屏東縣新園鄉,室內,22.5241,120.4519,屏東,40,良好,7.29,Low Risk,100
歷坵活動中心 Liqiu Activity Center,"1鄰12號No.12,Liqiu,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",臺東縣金峰鄉,室內,22.526384,120.926439,台東,33,良好,35.38,Low Risk,100
古樓國小,育英路2號,屏東縣來義鄉,室內,22.5275,120.6258,屏東,40,良好,15.44,Low Risk,200
高雄市林園區金潭國民小學,金潭路40號,高雄市林園區,室內,22.528055,120.396078,屏東,40,良好,11.67,Low Risk,260
金崙溫泉長老教會,16鄰40號,臺東縣太麻里鄉,室內,22.530918,120.937667,台東,33,良好,34.23,Low Risk,20
賓茂國小 Binmao Elementary School,"68號No.68,Binmao,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",臺東縣金峰鄉,室內,22.532403,120.95583,台東,33,良好,32.88,Low Risk,100
賓茂活動中心 Binmao Activity Center,"1鄰3-2號No.3-2,Binmao,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",臺東縣金峰鄉,室內,22.532592,120.961712,台東,33,良好,32.49,Low Risk,100
金崙活動中心,太麻里鄉6鄰金崙283號,臺東縣太麻里鄉,室內,22.533379,120.964363,台東,33,良好,32.25,Low Risk,80
光春國中,光春路290號,屏東縣潮州鎮,室內,22.534662,120.539763,屏東,40,良好,8.97,Low Risk,600
力社國小,力社路36號,屏東縣崁頂鄉,室內,22.5388,120.5092,屏東,40,良好,8.06,Low Risk,200
義仁里社區活動中心,鳳林一路48號,高雄市大寮區,室內,22.539227,120.403252,屏東,40,良好,11.85,Low Risk,100
光春國小,志成路201號,屏東縣潮州鎮,室內,22.540379,120.536872,屏東,40,良好,9.34,Low Risk,550
高雄市大寮區昭明國小,鳳林一路300巷80號,高雄市大寮區,室內,22.54239,120.408514,屏東,40,良好,11.7,Low Risk,350
新園鄉公所,仙吉路148號,屏東縣新園鄉,室內,22.5438,120.4615,屏東,40,良好,8.85,Low Risk,30
仙吉國小,仙吉路91號,屏東縣新園鄉,室內,22.5443,120.4611,屏東,40,良好,8.92,Low Risk,100
四林國小,開元路2巷1號,屏東縣潮州鎮,室內,22.544592,120.569267,屏東,40,良好,11.76,Low Risk,50
新園國中,仙吉路111號,屏東縣新園鄉,室內,22.5452,120.461,屏東,40,良好,9.01,Low Risk,300
光華國小,南進路2號,屏東縣潮州鎮,室內,22.547268,120.543657,屏東,40,良好,10.36,Low Risk,240
鎮立幼兒園,三星路39-2號,屏東縣潮州鎮,室內,22.547719,120.550815,屏東,40,良好,10.81,Low Risk,300
潮州國小,育英路31號,屏東縣潮州鎮,室內,22.548406,120.541139,屏東,40,良好,10.33,Low Risk,285
佳佐國小中興分校,中興路27號,屏東縣萬巒鄉,室內,22.5491,120.6123,屏東,40,良好,15.45,Low Risk,60
瓦?國小,四環路3號,屏東縣新園鄉,室內,22.5523,120.4747,屏東,40,良好,9.43,Low Risk,50
平和活動中心,1鄰1號,屏東縣泰武鄉,室內,22.5527,120.6293,屏東,40,良好,17.12,Low Risk,200
潮州國中,文化路66號,屏東縣潮州鎮,室內,22.554008,120.542947,屏東,40,良好,10.96,Low Risk,250
會結里社區活動中心,會結路14-3號,高雄市大寮區,室內,22.554827,120.424982,屏東,40,良好,11.67,Low Risk,100
