避難所名稱,地址,縣市,設施類型,緯度,經度,最近AQI測站,測站AQI,測站狀態,距離(公里),風險等級,預計收容人數
雙溪國小[室外],30號,嘉義縣朴子市,室外,23.4841,120.2778,嘉義,42,良好,17.2,Low Risk,400
文雅國民小學,文雅街2號,嘉義市東區,室內,23.4841,120.4873,嘉義,42,良好,4.51,Low Risk,200
僑平國民小學,德安路10號,嘉義市西區,室內,23.48415,120.43241,嘉義,42,良好,2.07,Low Risk,274
雙溪口活動中心,雙溪口40-2號,嘉義縣朴子市,室內,23.4844,120.2741,嘉義,42,良好,17.58,Low Risk,63
龍港國小-室外,113號,嘉義縣東石鄉,室外,23.4846,120.177,嘉義,42,良好,27.45,Low Risk,454
新埤國小[室外],214號,嘉義縣太保市,室外,23.4851,120.3347,嘉義,42,良好,11.42,Low Risk,700
圓崇國小[室內],387巷28號,嘉義縣竹崎鄉,室內,23.4853,120.5578,嘉義,42,良好,11.51,Low Risk,100
圓崇國小[戶外],387巷28號,嘉義縣竹崎鄉,室外,23.4853,120.5578,嘉義,42,良好,11.51,Low Risk,600
老人文康中心,5鄰214-12號,嘉義縣太保市,室內,23.4859,120.3348,嘉義,42,良好,11.4,Low Risk,100
王田里集會所,五福街119號,嘉義市東區,室內,23.4867,120.4679,嘉義,42,良好,2.59,Low Risk,50
復金社區活動中心,復金村復鼎金59-1號,嘉義縣竹崎鄉,室內,23.4867,120.5152,嘉義,42,良好,7.19,Low Risk,30
龍山社區活動中心,龍山村14鄰大庭23號,嘉義縣竹崎鄉,室內,23.4867,120.5152,嘉義,42,良好,7.19,Low Risk,50
光華國小[室內],4鄰10號,嘉義縣竹崎鄉,室內,23.4869,120.5759,嘉義,42,良好,13.33,Low Risk,50
光華國小[戶外],4鄰10號,嘉義縣竹崎鄉,室外,23.4869,120.5759,嘉義,42,良好,13.33,Low Risk,160
嘉義國民中學,圓福街86號,嘉義市東區,室內,23.487,120.4647,嘉義,42,良好,2.29,Low Risk,757
埤鄉社區活動中心,5鄰埤麻腳77號,嘉義縣太保市,室內,23.4873,120.3872,嘉義,42,良好,6.1,Low Risk,80
下楫國小-室內,147號,嘉義縣東石鄉,室內,23.4875,120.1965,嘉義,42,良好,25.45,Low Risk,63
下楫國小-室外,147號,嘉義縣東石鄉,室外,23.4875,120.1965,嘉義,42,良好,25.45,Low Risk,469
世賢國民小學,世賢路一段687號,嘉義市西區,室內,23.4893,120.42788,嘉義,42,良好,2.07,Low Risk,343
林森國民小學,林森東路346號,嘉義市東區,室內,23.4895,120.4666,嘉義,42,良好,2.33,Low Risk,388
北興國民中學,忠孝路394號,嘉義市東區,室內,23.4906,120.4532,嘉義,42,良好,1.12,Low Risk,319
鹿滿社區活動中心,鹿滿村7鄰麻箕埔95-1號,嘉義縣竹崎鄉,室內,23.4907,120.5067,嘉義,42,良好,6.26,Low Risk,50
瑞穗青蓮寺,仁愛路109號,花蓮縣瑞穗鄉,室內,23.4909,121.3904,花蓮,35,良好,40.18,Low Risk,100
新厝社區活動中心,龍江街87號,嘉義市西區,室內,23.490995,120.440796,嘉義,42,良好,0.94,Low Risk,35
花蓮縣鶴岡國民小學,167 號,花蓮縣瑞穗鄉,室內,23.4913,121.39,花蓮,35,良好,40.16,Low Risk,100
博愛國民小學,友愛路822號,嘉義市西區,室內,23.49159,120.44401,嘉義,42,良好,0.75,Low Risk,210
精忠社區活動中心,精忠一村1之6號,嘉義市東區,室內,23.4916,120.4768,嘉義,42,良好,3.24,Low Risk,50
豐山國小室內,47號,嘉義縣阿里山鄉,室內,23.4924,120.754,嘉義,42,良好,31.44,Low Risk,40
瑞良社區活動中心,4鄰信義路3號,花蓮縣瑞穗鄉,室內,23.4924,121.394,花蓮,35,良好,39.88,Low Risk,30
下埤社區活動中心,頂埤57號,嘉義市西區,室內,23.49248,120.41256,嘉義,42,良好,3.45,Low Risk,35
十字國小室內,16號,嘉義縣阿里山鄉,室內,23.492485,120.75402,嘉義,42,良好,31.44,Low Risk,80
蒜頭國小-室外,蒜頭村188號,嘉義縣六腳鄉,室外,23.493083,120.291893,嘉義,42,良好,15.7,Low Risk,320
花蓮縣瑞穗鄉瑞美國民小學,中山路二段389號,花蓮縣瑞穗鄉,室內,23.4931,121.3916,花蓮,35,良好,39.91,Low Risk,50
嘉北國民小學,嘉北街65號,嘉義市東區,室內,23.4935,120.4551,嘉義,42,良好,1.08,Low Risk,230
瑞美社區活動中心,13鄰中山路二段387號,花蓮縣瑞穗鄉,室內,23.4937,121.3912,花蓮,35,良好,39.86,Low Risk,30
蒜頭國小活動中心-室內,蒜頭村188號,嘉義縣六腳鄉,室內,23.494022,120.292893,嘉義,42,良好,15.6,Low Risk,470
蒜頭活動中心,蒜頭村73號,嘉義縣六腳鄉,室內,23.494055,120.290764,嘉義,42,良好,15.82,Low Risk,30
奇美社區活動中心,2鄰40號,花蓮縣瑞穗鄉,室內,23.4942,121.4467,花蓮,35,良好,37.91,Low Risk,20
北園國民小學,北社尾路168號,嘉義市西區,室內,23.49452,120.42565,嘉義,42,良好,2.09,Low Risk,430
金獅社區活動中心,金獅村11鄰金獅寮31號,嘉義縣竹崎鄉,室內,23.4946,120.5413,嘉義,42,良好,9.75,Low Risk,10
港口宮,5號,嘉義縣東石鄉,室內,23.4949,120.1864,嘉義,42,良好,26.45,Low Risk,100
北園國民中學,北社尾路166巷12號,嘉義市西區,室內,23.49517,120.42663,嘉義,42,良好,1.98,Low Risk,377
