cluster,pixel_count,Blue,Green,Red,NIR,SWIR1,SWIR2,interpreted_label,reason
0,552620,0.18710976839065552,0.1692417562007904,0.15916381776332855,0.15591765940189362,0.15258654952049255,0.1430020034313202,Built-up or bright bare / 建物或亮裸地,"NDBI=-0.01, visible=0.17"
1,229401,0.1915757954120636,0.20642070472240448,0.18629568815231323,0.41909652948379517,0.312166690826416,0.22626829147338867,Cropland or grass / 農田或草生地,NDVI=0.38 is moderate
2,78041,0.27143391966819763,0.2800106704235077,0.2676086723804474,0.4200739562511444,0.36268150806427,0.29375210404396057,Bare/Landslide / 裸地或崩塌,"NDVI=0.22, SWIR1=0.36"
3,388077,0.14343948662281036,0.16202354431152344,0.14191026985645294,0.3958258330821991,0.2678149342536926,0.1841106116771698,Cropland or grass / 農田或草生地,NDVI=0.47 is moderate
4,8434,0.47226476669311523,0.4746766984462738,0.47013166546821594,0.5944203734397888,0.5481196641921997,0.4750898778438568,Bare/Landslide / 裸地或崩塌,"NDVI=0.12, SWIR1=0.55"
